ID,Group_Name,Full_Path,Web_URL,Description,Created_At,Project_Count,Storage_Size_(KB)
6,DLVN-NonCore,noncore,https://git.dai-ichi-life.com.vn/groups/noncore,💎,2021-10-23T04:10:10.094Z,0,321161.787109375
23,01-SystemReleases,01-systemreleases,https://git.dai-ichi-life.com.vn/groups/01-systemreleases,,2022-03-23T03:53:40.781Z,0,139296.4951171875
38,PeripheralSystemDev,peripheralsystemdev,https://git.dai-ichi-life.com.vn/groups/peripheralsystemdev,💎,2022-04-18T03:59:18.860Z,0,0.0
39,Workflow,peripheralsystemdev/workflow,https://git.dai-ichi-life.com.vn/groups/peripheralsystemdev/workflow,,2022-04-18T04:07:00.758Z,0,1215238.0634765625
40,CSPortal,peripheralsystemdev/csportal,https://git.dai-ichi-life.com.vn/groups/peripheralsystemdev/csportal,,2022-04-18T04:07:25.734Z,0,95736.8720703125
41,D-Connect,peripheralsystemdev/d-connect,https://git.dai-ichi-life.com.vn/groups/peripheralsystemdev/d-connect,,2022-04-18T04:08:11.462Z,0,0.0
42,webversion,peripheralsystemdev/d-connect/webversion,https://git.dai-ichi-life.com.vn/groups/peripheralsystemdev/d-connect/webversion,,2022-04-18T04:09:05.631Z,0,1024083.3994140625
43,mobileversion,peripheralsystemdev/d-connect/mobileversion,https://git.dai-ichi-life.com.vn/groups/peripheralsystemdev/d-connect/mobileversion,,2022-04-18T04:09:24.756Z,0,1238530.8662109375
44,services,peripheralsystemdev/d-connect/services,https://git.dai-ichi-life.com.vn/groups/peripheralsystemdev/d-connect/services,,2022-04-18T04:10:19.097Z,0,0.46875
45,ePayment,peripheralsystemdev/epayment,https://git.dai-ichi-life.com.vn/groups/peripheralsystemdev/epayment,,2022-04-18T04:12:15.129Z,0,90901.44921875
46,AgencyPortal,peripheralsystemdev/agencyportal,https://git.dai-ichi-life.com.vn/groups/peripheralsystemdev/agencyportal,,2022-04-18T04:14:08.771Z,0,192933.658203125
47,CustomerPortal,peripheralsystemdev/customerportal,https://git.dai-ichi-life.com.vn/groups/peripheralsystemdev/customerportal,,2022-04-18T04:14:24.347Z,0,14022.583984375
48,eTaxInvoice,peripheralsystemdev/etaxinvoice,https://git.dai-ichi-life.com.vn/groups/peripheralsystemdev/etaxinvoice,,2022-04-18T04:14:39.267Z,0,104868.8544921875
49,CCMS,peripheralsystemdev/ccms,https://git.dai-ichi-life.com.vn/groups/peripheralsystemdev/ccms,,2022-04-18T04:15:01.445Z,0,113095.7548828125
50,AXP,peripheralsystemdev/axp,https://git.dai-ichi-life.com.vn/groups/peripheralsystemdev/axp,,2022-04-18T04:15:18.688Z,0,0.0
51,D-Portal,peripheralsystemdev/d-portal,https://git.dai-ichi-life.com.vn/groups/peripheralsystemdev/d-portal,,2022-04-18T04:15:42.404Z,0,39831.470703125
52,DFVNPortal,peripheralsystemdev/dfvn-portal,https://git.dai-ichi-life.com.vn/groups/peripheralsystemdev/dfvn-portal,,2022-04-18T04:16:22.559Z,0,48173.349609375
53,eLearning_TMS,peripheralsystemdev/elearning_tms,https://git.dai-ichi-life.com.vn/groups/peripheralsystemdev/elearning_tms,,2022-04-18T04:17:10.249Z,0,749081.52734375
