Main_Group_Name,Main_Group_ID,Sub_Group_Level_1_Name,Sub_Group_Level_1_ID,Sub_Group_Level_2_Name,Sub_Group_Level_2_ID,Project_Name,Project_ID,Invited_Group_Name,Invited_Group_ID,Access_Level
PeripheralSystemDev,38,ACE,629,,,ExampleService,516,ReporterMergeRequestPipeline,856,Unknown
Microservices,741,AgencyServices,994,,,PromotionDemotionApproval,699,TechnicalLeaderDistributionDigitalSystems,1149,Unknown
Microservices,741,AgencyServices,994,,,PromotionDemotionApproval,699,SquadLeaderDistributionDigitalSystems,939,Unknown
Microservices,741,AgencyServices,994,,,PromotionDemotionApproval,699,DeveloperDistributionDigitalSystems,913,Unknown
Microservices,741,AgencyServices,994,,,PromotionDemotionApproval,699,DeveloperSystemArchitecture,883,Unknown
Microservices,741,AgencyServices,994,,,AccreditationSupervision,670,DeveloperDistributionAdministrationSystem,999,Unknown
Microservices,741,AgencyServices,994,,,AccreditationSupervision,670,DeveloperSystemArchitecture,883,Unknown
Microservices,741,Authentication,1000,,,AgentAuthentication,672,DeveloperDistributionAdministrationSystem,999,Unknown
Microservices,741,Authentication,1000,,,AgentAuthentication,672,SquadLeaderDistributionAdministrationSystem,998,Unknown
Microservices,741,Authentication,1000,,,AgentAuthentication,672,DeveloperSystemArchitecture,883,Unknown
Microservices,741,ClaimManagement,761,,,ClaimAssessment,556,DeveloperSystemArchitecture,883,Unknown
Microservices,741,ClaimManagement,761,,,ClaimProcessing,555,DeveloperSystemArchitecture,883,Unknown
Microservices,741,ClaimManagement,761,,,ClaimSubmission,554,DeveloperSystemArchitecture,883,Unknown
Microservices,741,EApplication,942,,,EAppFrontend,642,SquadLeaderDistributionDigitalSystems,939,Unknown
Microservices,741,EApplication,942,,,EAppFrontend,642,DeveloperDistributionDigitalSystems,913,Unknown
Microservices,741,EApplication,942,,,EAppFrontend,642,DeveloperSystemArchitecture,883,Unknown
Microservices,741,ECV,953,,,ECVFrontend,650,SquadLeaderDistributionDigitalSystems,939,Unknown
Microservices,741,ECV,953,,,ECVFrontend,650,DeveloperDistributionDigitalSystems,913,Unknown
Microservices,741,ECV,953,,,ECVFrontend,650,DeveloperSystemArchitecture,883,Unknown
Microservices,741,Example,805,,,PolicyServicing,582,DeveloperSystemArchitecture,883,Unknown
Microservices,741,RelationshipManagement,995,,,AgentManagement,671,TechnicalLeaderDistributionAdministrationSystem,1124,Unknown
Microservices,741,RelationshipManagement,995,,,AgentManagement,671,SquadLeaderCustomerServiceSystems,1054,Unknown
Microservices,741,RelationshipManagement,995,,,AgentManagement,671,DeveloperCustomerServiceSystems,1053,Unknown
Microservices,741,RelationshipManagement,995,,,AgentManagement,671,DeveloperDistributionAdministrationSystem,999,Unknown
Microservices,741,RelationshipManagement,995,,,AgentManagement,671,SquadLeaderDistributionAdministrationSystem,998,Unknown
Microservices,741,RelationshipManagement,995,,,AgentManagement,671,DeveloperSystemArchitecture,883,Unknown
Microservices,741,Servicing,742,,,MobileAppAssociation,733,SquadLeaderCustomerDigitalSystems,938,Unknown
Microservices,741,Servicing,742,,,MobileAppAssociation,733,DeveloperCustomerDigitalSystems,891,Unknown
Microservices,741,Servicing,742,,,MobileAppAssociation,733,DeveloperSystemArchitecture,883,Unknown
Microservices,741,Servicing,742,,,ClaimsServices,620,SquadLeaderCustomerDigitalSystems,938,Unknown
Microservices,741,Servicing,742,,,ClaimsServices,620,DeveloperCustomerDigitalSystems,891,Unknown
Microservices,741,Servicing,742,,,ClaimsServices,620,DeveloperSystemArchitecture,883,Unknown
Microservices,741,Servicing,742,,,AuthenticationServices,619,SquadLeaderCustomerDigitalSystems,938,Unknown
Microservices,741,Servicing,742,,,AuthenticationServices,619,DeveloperCustomerDigitalSystems,891,Unknown
Microservices,741,Servicing,742,,,AuthenticationServices,619,DeveloperSystemArchitecture,883,Unknown
Microservices,741,Servicing,742,,,Inquiries,577,TechnicalLeaderDistributionAdministrationSystem,1124,Unknown
Microservices,741,Servicing,742,,,Inquiries,577,DeveloperDistributionAdministrationSystem,999,Unknown
Microservices,741,Servicing,742,,,Inquiries,577,SquadLeaderDistributionAdministrationSystem,998,Unknown
Microservices,741,Servicing,742,,,Inquiries,577,DeveloperSystemArchitecture,883,Unknown
Microservices,741,Servicing,742,,,AgentServicing,576,DeveloperSystemArchitecture,883,Unknown
Microservices,741,Servicing,742,,,CustomerServicing,569,DeveloperSystemArchitecture,883,Unknown
Microservices,741,Servicing,742,,,ClaimServicing,553,DeveloperSystemArchitecture,883,Unknown
GitOps,745,Pipeline,752,,,JenkinsPipeline,630,SquadLeaderSystemArchitecture,937,Unknown
GitOps,745,Pipeline,752,,,JenkinsPipeline,630,DeveloperSystemArchitecture,883,Unknown
GitOps,745,Pipeline,752,,,GitlabPipeline,542,SquadLeaderSystemArchitecture,937,Unknown
GitOps,745,Pipeline,752,,,GitlabPipeline,542,DeveloperSystemArchitecture,883,Unknown
GitOps,745,Pipeline,752,,,GitlabPipeline,542,ReporterMergeRequestPipeline,856,Unknown
GitOps,745,PRD,746,,,HelmChartUserIdentityRequisitionSystemPrd,709,SquadLeaderSystemArchitecture,937,Unknown
GitOps,745,PRD,746,,,HelmChartUserIdentityRequisitionSystemPrd,709,SquadLeaderServerAdministration2,936,Unknown
GitOps,745,PRD,746,,,HelmChartUserIdentityRequisitionSystemPrd,709,DeveloperServerAdministration2,884,Unknown
GitOps,745,PRD,746,,,HelmChartUserIdentityRequisitionSystemPrd,709,DeveloperSystemArchitecture,883,Unknown
GitOps,745,PRD,746,,,HelmChartDMedicPrd,692,SquadLeaderServerAdministration2,936,Unknown
